1059932184	20220824	202208	2022	2022.6411	COP	DEPUTY						COP													1	040	040	04	1	1.0	3	1	3	-0.14992503748126	1	Chile	CI	CI		-30	-71	CI	0								1	Chile	CI	CI		-30	-71	CI	20220824071500	https://www.pressenza.com/2022/08/tomas-hirsch-a-revolutionary-constitution-for-chile-and-for-all-humanity/
1059932185	20220824	202208	2022	2022.6411	COP	POLICE FORCE						COP													0	042	042	04	1	1.9	6	1	6	-5.76271186440678	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932186	20220824	202208	2022	2022.6411	COP	POLICE FORCE						COP													0	042	042	04	1	1.9	4	1	4	-5.76271186440678	1	Barbados	BB	BB		13.166667	-59.533333	BB	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932187	20220824	202208	2022	2022.6411	COP	POLICE OFFICER						COP													0	042	042	04	1	1.9	6	1	6	-5.76271186440678	1	Qatar	QA	QA		25.5	51.25	QA	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932188	20220824	202208	2022	2022.6411	COP	DEPUTY						COP													0	051	051	05	1	3.4	1	1	1	-0.51169590643275	1	Costa Rica	CS	CS		10	-84	CS	0								1	United States	US	US		39.828175	-98.5795	US	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932189	20220824	202208	2022	2022.6411	COP	POLICE OFFICER						COP													0	080	080	08	2	5.0	6	1	6	-5.76271186440678	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932190	20220824	202208	2022	2022.6411	COP	PRISON						COP													0	084	084	08	2	7.0	10	1	10	-6.158357771261	3	San Marcos, California, United States	US	USCA	CA073	33.1434	-117.166	1661388	0								3	San Marcos, California, United States	US	USCA		33.1434	-117.166	1661388	20220824071500	https://www.sandiegouniontribune.com/news/public-safety/story/2022-08-23/fallbrook-deputies-arrest-man-find-6-molotov-cocktails-in-his-vehicle
1059932191	20220824	202208	2022	2022.6411	COP	POLICE						COP													1	090	090	09	2	-2.0	10	1	10	-4.87106017191977	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976213.html
1059932192	20220824	202208	2022	2022.6411	COP	DEPUTIES						COP													1	090	090	09	2	-2.0	5	1	5	-6.158357771261	3	San Marcos, California, United States	US	USCA	CA073	33.1434	-117.166	1661388	0								3	San Marcos, California, United States	US	USCA		33.1434	-117.166	1661388	20220824071500	https://www.sandiegouniontribune.com/news/public-safety/story/2022-08-23/fallbrook-deputies-arrest-man-find-6-molotov-cocktails-in-his-vehicle
1059932193	20220824	202208	2022	2022.6411	COP	PRISON						COP													1	1711	171	17	4	-9.2	6	1	6	-1.98198198198199	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20220824071500	https://www.premiumtimesng.com/news/headlines/550318-inibehe-effiongs-conviction-travesty-of-justice-amnesty-international.html
1059932194	20220824	202208	2022	2022.6411	COP	POLICE						COP													1	173	173	17	4	-5.0	10	1	10	-4.87106017191977	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976213.html
1059932195	20220824	202208	2022	2022.6411	COP	PRISON						COP													0	173	173	17	4	-5.0	10	1	10	-6.158357771261	3	San Marcos, California, United States	US	USCA	CA073	33.1434	-117.166	1661388	0								3	San Marcos, California, United States	US	USCA		33.1434	-117.166	1661388	20220824071500	https://www.sandiegouniontribune.com/news/public-safety/story/2022-08-23/fallbrook-deputies-arrest-man-find-6-molotov-cocktails-in-his-vehicle
1059932196	20220824	202208	2022	2022.6411	COP	DEPUTY						COP			AFR	AFRICA	AFR								0	051	051	05	1	3.4	1	1	1	-0.51169590643275	1	Costa Rica	CS	CS		10	-84	CS	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932197	20220824	202208	2022	2022.6411	COP	POLICE OFFICER						COP			BRB	BARBADOS	BRB								0	043	043	04	1	2.8	4	1	4	-5.76271186440678	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932198	20220824	202208	2022	2022.6411	COP	DEPUTY						COP			CHL	CHILE	CHL								1	040	040	04	1	1.0	2	1	2	-0.14992503748126	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	20220824071500	https://www.pressenza.com/2022/08/tomas-hirsch-a-revolutionary-constitution-for-chile-and-for-all-humanity/
1059932199	20220824	202208	2022	2022.6411	COP	POLICE						COP			GOV	AUTHORITIES						GOV			1	0874	087	08	2	10.0	3	1	3	-6.98113207547169	3	Clay County, Florida, United States	US	USFL	FL019	29.9997	-81.8332	295726	3	Clay County, Florida, United States	US	USFL		29.9997	-81.8332	295726	3	Clay County, Florida, United States	US	USFL		29.9997	-81.8332	295726	20220824071500	https://www.parentherald.com/articles/108105/20220819/florida-teacher-caught-punching-preschool-student-head-more-once.htm
1059932200	20220824	202208	2022	2022.6411	COP	POLICE						COP			GOV	AUTHORITIES						GOV			1	0874	087	08	2	10.0	1	1	1	-6.98113207547169	3	Clay County, Florida, United States	US	USFL	FL019	29.9997	-81.8332	295726	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220824071500	https://www.parentherald.com/articles/108105/20220819/florida-teacher-caught-punching-preschool-student-head-more-once.htm
1059932201	20220824	202208	2022	2022.6411	COP	POLICE						COP			GOV	AUTHORITIES						GOV			1	0874	087	08	2	10.0	5	1	5	-6.98113207547169	3	Pinellas County, Florida, United States	US	USFL	FL103	27.8961	-82.7082	295745	3	Pinellas County, Florida, United States	US	USFL		27.8961	-82.7082	295745	3	Pinellas County, Florida, United States	US	USFL		27.8961	-82.7082	295745	20220824071500	https://www.parentherald.com/articles/108105/20220819/florida-teacher-caught-punching-preschool-student-head-more-once.htm
1059932202	20220824	202208	2022	2022.6411	COP	POLICE						COP			GOV	AUTHORITIES						GOV			1	0874	087	08	2	10.0	1	1	1	-6.98113207547169	2	Florida, United States	US	USFL		27.8333	-81.717	FL	3	Clay County, Florida, United States	US	USFL		29.9997	-81.8332	295726	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220824071500	https://www.parentherald.com/articles/108105/20220819/florida-teacher-caught-punching-preschool-student-head-more-once.htm
1059932203	20220824	202208	2022	2022.6411	COP	POLICE						COP			HLH	HOSPITAL						HLH			1	193	193	19	4	-10.0	10	1	10	-5.55555555555556	4	Rockland, Ontario, Canada	CA	CA08	12677	45.5333	-75.2833	-572393	4	Rockland, Ontario, Canada	CA	CA08	12677	45.5333	-75.2833	-572393	4	Rockland, Ontario, Canada	CA	CA08	12677	45.5333	-75.2833	-572393	20220824071500	https://www.thesuburban.com/news/city_news/men-killed-in-tmr-downtown-within-a-half-hour/article_a2f417e7-55c7-566b-bc37-06c6b2ebab84.html
1059932204	20220824	202208	2022	2022.6411	COP	POLICE						COP			INDCOP	JAMMU AND KASHMIR	IND					COP			1	190	190	19	4	-10.0	10	1	10	-4.13793103448276	0								0								0								20220824071500	https://www.indiatvnews.com/news/india/jammu-kashmir-police-raid-lawyers-advocate-killing-srinagar-mian-abdul-qayoom-manzoor-dar-muzaffar-mohammad-2022-08-24-802528
1059932205	20220824	202208	2022	2022.6411	COP	POLICE						COP			INDJUD	SRINAGAR	IND					JUD			1	190	190	19	4	-10.0	5	1	5	-4.13793103448276	0								0								0								20220824071500	https://www.indiatvnews.com/news/india/jammu-kashmir-police-raid-lawyers-advocate-killing-srinagar-mian-abdul-qayoom-manzoor-dar-muzaffar-mohammad-2022-08-24-802528
1059932206	20220824	202208	2022	2022.6411	COP	PRISON						COP			MYS	MALAYSIA	MYS								0	173	173	17	4	-5.0	1	1	1	-4.50704225352113	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220824071500	https://www.nbcsandiego.com/news/business/money-report/jail-will-be-tough-for-ex-malaysian-leader-najib-whos-used-to-a-7-star-hotel-lifestyle-says-anwar/3030509/
1059932207	20220824	202208	2022	2022.6411	COP	PRISON						COP			MYSJUD	PUTRAJAYA	MYS					JUD			0	173	173	17	4	-5.0	5	1	5	-4.6692607003891	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220824071500	http://www.msn.com/en-us/news/world/jail-will-be-tough-for-ex-malaysian-leader-najib-who-s-used-to-a-7-star-hotel-lifestyle-says-anwar/ar-AA112bze
1059932208	20220824	202208	2022	2022.6411	COP	DEPUTY						COP			OPP	ACTIVIST						OPP			1	040	040	04	1	1.0	3	1	3	-0.14992503748126	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	20220824071500	https://www.pressenza.com/2022/08/tomas-hirsch-a-revolutionary-constitution-for-chile-and-for-all-humanity/
1059932209	20220824	202208	2022	2022.6411	COP	POLICE						COP			PAK	PAKISTAN	PAK								1	193	193	19	4	-10.0	8	1	8	-6.84596577017115	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976214.html
1059932210	20220824	202208	2022	2022.6411	COP	PRISON						COP			PHL	PHILIPPINE	PHL								1	043	043	04	1	2.8	4	1	4	-3.31632653061225	4	Muntinlupa City, Muntinlupa City, Philippines	RP	RPL4	24229	14.4135	121.026	-2440507	4	Muntinlupa City, Muntinlupa City, Philippines	RP	RPL4	24229	14.4135	121.026	-2440507	4	Muntinlupa City, Muntinlupa City, Philippines	RP	RPL4	24229	14.4135	121.026	-2440507	20220824071500	https://mb.com.ph/2022/08/24/remulla-to-seek-p2-5-billion-budget-for-prisonfacility-in-mindoro-for-heinous-crime-convicts/
1059932211	20220824	202208	2022	2022.6411	COP	DEPUTIES						COP			RUS	MOLOTOV	RUS								1	090	090	09	2	-2.0	5	1	5	-6.158357771261	3	San Marcos, California, United States	US	USCA	CA073	33.1434	-117.166	1661388	3	San Marcos, California, United States	US	USCA		33.1434	-117.166	1661388	3	San Marcos, California, United States	US	USCA		33.1434	-117.166	1661388	20220824071500	https://www.sandiegouniontribune.com/news/public-safety/story/2022-08-23/fallbrook-deputies-arrest-man-find-6-molotov-cocktails-in-his-vehicle
1059932212	20220824	202208	2022	2022.6411	COP	POLICE						COP			UAF	TERRORIST						UAF			1	173	173	17	4	-5.0	10	1	10	-6.84596577017115	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976214.html
1059932213	20220824	202208	2022	2022.6411	COP	POLICE						COP			UAF	TERRORIST						UAF			1	193	193	19	4	-10.0	2	1	2	-6.84596577017115	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976214.html
1059932214	20220824	202208	2022	2022.6411	COP	DEPUTY						COP			USA	UNITED STATES	USA								0	051	051	05	1	3.4	4	1	4	-0.51169590643275	1	Costa Rica	CS	CS		10	-84	CS	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932215	20220824	202208	2022	2022.6411	COP	POLICE						COP			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	4	1	4	-3.38441890166028	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20220824071500	https://www.foxnews.com/us/un-diplomat-dodges-nyc-rape-charges-thanks-immunity-history-controversial-policy
1059932216	20220824	202208	2022	2022.6411	COP	LAW ENFORCEMENT OFFICER						COP			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	8	1	8	-6.32411067193676	3	Bexar County, Texas, United States	US	USTX	TX029	29.4502	-98.517	1383800	3	Bexar County, Texas, United States	US	USTX		29.4502	-98.517	1383800	3	Bexar County, Texas, United States	US	USTX		29.4502	-98.517	1383800	20220824071500	https://www.mirror.co.uk/news/us-news/uvalde-shooter-lay-morgue-month-27817611
1059932217	20220824	202208	2022	2022.6411	COPGOV	POLICE						COP	GOV		CVL	RESIDENTS						CVL			1	010	010	01	1	0.0	10	1	10	-8.01526717557252	0								0								0								20220824071500	https://ewn.co.za/2022/08/24/cele-no-evidence-of-collusion-between-zama-zamas-and-police
1059932218	20220824	202208	2022	2022.6411	COPGOV	DEPUTY						COP	GOV		GOV	GOVERNMENT						GOV			1	040	040	04	1	1.0	10	1	10	0.90909090909091	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824071500	https://news.webindia123.com/news/Articles/World/20220824/3976211.html
1059932219	20220824	202208	2022	2022.6411	CRI	COSTA RICA	CRI								AFR	AFRICA	AFR								0	051	051	05	1	3.4	1	1	1	-0.51169590643275	1	Costa Rica	CS	CS		10	-84	CS	1	Costa Rica	CS	CS		10	-84	CS	1	Costa Rica	CS	CS		10	-84	CS	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932220	20220824	202208	2022	2022.6411	CRI	COSTA RICA	CRI								AFR	AFRICA	AFR								0	051	051	05	1	3.4	1	1	1	-0.51169590643275	1	Costa Rica	CS	CS		10	-84	CS	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932221	20220824	202208	2022	2022.6411	CRI	COSTA RICA	CRI								USA	UNITED STATES	USA								0	051	051	05	1	3.4	1	1	1	-0.51169590643275	1	Costa Rica	CS	CS		10	-84	CS	1	Costa Rica	CS	CS		10	-84	CS	1	Costa Rica	CS	CS		10	-84	CS	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932222	20220824	202208	2022	2022.6411	CRI	COSTA RICA	CRI								USA	UNITED STATES	USA								0	051	051	05	1	3.4	1	1	1	-0.51169590643275	1	Costa Rica	CS	CS		10	-84	CS	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932223	20220824	202208	2022	2022.6411	CRM	GANG						CRM			ELI	RETIRED						ELI			1	112	112	11	3	-2.0	5	1	5	-4.63917525773195	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824071500	https://www.thehindu.com/news/cities/mumbai/bilkis-case-remission-does-not-mean-they-are-not-guilty-why-felicitate-them-asks-former-judge/article65802275.ece
1059932224	20220824	202208	2022	2022.6411	CRM	GANG						CRM			ELI	RETIRED						ELI			1	1821	182	18	4	-9.0	5	1	5	-4.63917525773195	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824071500	https://www.thehindu.com/news/cities/mumbai/bilkis-case-remission-does-not-mean-they-are-not-guilty-why-felicitate-them-asks-former-judge/article65802275.ece
1059932225	20220824	202208	2022	2022.6411	CRM	ILLEGAL MIGRANT						CRM			GOV	MINIST OF INTERIOR						GOV			1	084	084	08	2	7.0	5	1	5	-10	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220824071500	https://www.latestly.com/socially/india/news/the-number-of-illegal-migrants-entering-the-czechrepublic-from-slovakia-has-increased-latest-tweet-by-ians-india-4118052.html
1059932226	20220824	202208	2022	2022.6411	CRM	CONVICTS						CRM			JUD	JUDGE						JUD			0	040	040	04	1	1.0	10	1	10	-4.63917525773195	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824071500	https://www.thehindu.com/news/cities/mumbai/bilkis-case-remission-does-not-mean-they-are-not-guilty-why-felicitate-them-asks-former-judge/article65802275.ece
1059932227	20220824	202208	2022	2022.6411	CVL	INDIGENOUS PEOPLE						CVL													0	020	020	02	1	3.0	8	1	8	-0.51169590643275	4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	0								4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932228	20220824	202208	2022	2022.6411	CVL	INDIGENOUS PEOPLE						CVL													0	020	020	02	1	3.0	2	1	2	-0.51169590643275	1	Greece	GR	GR		39	22	GR	0								1	Greece	GR	GR		39	22	GR	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932229	20220824	202208	2022	2022.6411	CVL	POPULATION						CVL													0	040	040	04	1	1.0	5	1	5	-0.51169590643275	4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	0								4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932230	20220824	202208	2022	2022.6411	CVL	COMMUNITY						CVL													1	060	060	06	2	6.0	8	1	8	-5.03731343283582	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	0								4	Cagayan Valley, Philippines (general), Philippines	RP	RP00	24217	17.5	121.75	-2418300	20220824071500	https://mb.com.ph/2022/08/24/4k-individuals-affected-by-storm-florita-ndrrmc/
1059932231	20220824	202208	2022	2022.6411	CVL	COMMUNITY						CVL													1	060	060	06	2	6.0	2	1	2	-5.03731343283582	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	0								4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20220824071500	https://mb.com.ph/2022/08/24/4k-individuals-affected-by-storm-florita-ndrrmc/
1059932232	20220824	202208	2022	2022.6411	CVL	COMMUNITY						CVL													1	071	071	07	2	7.4	5	1	5	2.16867469879518	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	0								2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20220824071500	https://www.montgomeryadvertiser.com/story/opinion/2022/08/24/electric-vehicles-future-and-alabama-must-have-place/7882521001/
1059932233	20220824	202208	2022	2022.6411	CVL	POPULATION						CVL													0	192	192	19	4	-9.5	10	1	10	-3.08345120226309	3	Washington University, Missouri, United States	US	USMO	MO189	38.6481	-90.3071	756873	0								3	Washington University, Missouri, United States	US	USMO		38.6481	-90.3071	756873	20220824071500	https://medicine.wustl.edu/news/podcast-new-covid-19-variants-causing-re-infections/
1059932234	20220824	202208	2022	2022.6411	CVL	COMMUNITY						CVL			AUSCOP	TASMANIA	AUS					COP			1	030	030	03	1	4.0	10	1	10	1.62337662337662	0								0								0								20220824071500	https://www.miragenews.com/police-remind-private-e-scooter-owners-of-842206/
1059932235	20220824	202208	2022	2022.6411	CVL	VOTER						CVL			IRQ	IRAQ	IRQ								1	110	110	11	3	-2.0	6	1	6	-2.34375	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824071500	https://www.economist.com/united-states/2022/08/24/new-yorks-primary-turns-democratic-friends-into-foes
1059932236	20220824	202208	2022	2022.6411	CVL	MINORITIES						CVL			RAD	EXTREMIST						RAD			0	114	114	11	3	-2.0	6	1	6	-5.6379821958457	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20220824071500	https://www.ndtv.com/world-news/16-graves-belonging-to-minority-community-vandalised-in-pakistan-report-3281518
1059932237	20220824	202208	2022	2022.6411	CVL	MINORITIES						CVL			RAD	EXTREMIST						RAD			0	114	114	11	3	-2.0	4	1	4	-5.6379821958457	4	Manawala, Punjab, Pakistan	PK	PK04	23655	31.7026	71.2256	6078790	4	Manawala, Punjab, Pakistan	PK	PK04	23655	31.7026	71.2256	6078790	4	Manawala, Punjab, Pakistan	PK	PK04	23655	31.7026	71.2256	6078790	20220824071500	https://www.ndtv.com/world-news/16-graves-belonging-to-minority-community-vandalised-in-pakistan-report-3281518
1059932238	20220824	202208	2022	2022.6411	CVL	CIVILIAN						CVL			UAF	TERRORIST						UAF			1	182	182	18	4	-9.5	10	1	10	-6.84596577017115	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976214.html
1059932239	20220824	202208	2022	2022.6411	CVL	CIVILIAN						CVL			UAF	TERRORIST						UAF			1	190	190	19	4	-10.0	10	1	10	-6.84596577017115	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976214.html
1059932240	20220824	202208	2022	2022.6411	CVL	RESIDENTS						CVL			UKR	CRIMEA	UKR								0	010	010	01	1	0.0	9	1	9	-7.61421319796954	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	20220824071500	https://charter97.org/en/news/2022/8/24/512575/
1059932241	20220824	202208	2022	2022.6411	CVL	RESIDENTS						CVL			UKR	CRIMEA	UKR								0	010	010	01	1	0.0	1	1	1	-7.61421319796954	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220824071500	https://charter97.org/en/news/2022/8/24/512575/
1059932242	20220824	202208	2022	2022.6411	CVL	RESIDENTS						CVL			UKRCVL	UKRAINE	UKR					CVL			0	160	160	16	4	-4.0	4	1	4	-7.61421319796954	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220824071500	https://charter97.org/en/news/2022/8/24/512575/
1059932243	20220824	202208	2022	2022.6411	CVL	COMMUNITY						CVL			USA	UNITED STATES	USA								1	051	051	05	1	3.4	4	1	4	3.20641282565131	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220824071500	https://www.greenfieldreporter.com/2022/08/24/kids-need-help-too-new-program-offers-free-mental-health-counseling-for-kids/
1059932244	20220824	202208	2022	2022.6411	CVL	ETHNIC GROUP						CVL			idg	INDIGENOUS			idg						0	050	050	05	1	3.5	6	1	6	-0.51169590643275	1	Argentina	AR	AR		-34	-64	AR	1	Argentina	AR	AR		-34	-64	AR	1	Argentina	AR	AR		-34	-64	AR	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932245	20220824	202208	2022	2022.6411	CVL	ETHNIC GROUP						CVL			idg	INDIGENOUS			idg						0	050	050	05	1	3.5	4	1	4	-0.51169590643275	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932246	20220824	202208	2022	2022.6411	DEU	GERMAN	DEU																		0	051	051	05	1	3.4	1	1	1	-2.89093298291721	4	Chen Jia, Anhui, China	CH	CH01	13144	31.5166	118.395	10520099	0								4	Ludwigshafen, Rheinland-Pfalz, Germany	GM	GM08	16554	49.4811	8.43528	-1821461	20220824071500	http://en.people.cn/n3/2022/0824/c90000-10138983.html
1059932247	20220824	202208	2022	2022.6411	DEU	MANNHEIM	DEU																		1	071	071	07	2	7.4	5	1	5	0.45454545454545	4	Asmara, Ma'akel, Eritrea	ER	ER05	15888	15.3333	38.9333	-604780	0								4	Asmara, Ma'akel, Eritrea	ER	ER05	15888	15.3333	38.9333	-604780	20220824071500	https://venturesafrica.com/apostories/eritrea-contribution-to-augment-martyrs-trust-fund/
1059932248	20220824	202208	2022	2022.6411	DEU	GERMAN	DEU								BUS	BUSINESS						BUS			1	1711	171	17	4	-9.2	1	1	1	-4.43262411347518	1	Germany	GM	GM		51.5	10.5	GM	4	Jesolo, Veneto, Italy	IT	IT20	18418	45.5394	12.6494	-119123	4	Jesolo, Veneto, Italy	IT	IT20	18418	45.5394	12.6494	-119123	20220824071500	https://www.israelnationalnews.com/news/358661
