1059929306	20220817	202208	2022	2022.6219	SAU	SAUDI	SAU								SAUGOVBUS	SAUDI	SAU					GOV	BUS		1	057	057	05	1	8.0	10	1	10	2.63157894736842	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20220824064500	https://www.al-monitor.com/originals/2022/08/saudi-central-bank-approves-fintech-companies-lean-technologies-mod5r
1059929307	20220817	202208	2022	2022.6219	SAUGOVBUS	SAUDI	SAU					GOV	BUS		SAU	SAUDI	SAU								1	057	057	05	1	8.0	10	1	10	2.63157894736842	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20220824064500	https://www.al-monitor.com/originals/2022/08/saudi-central-bank-approves-fintech-companies-lean-technologies-mod5r
1059929308	20220823	202208	2022	2022.6384											GBR	LIVERPOOL	GBR								1	190	190	19	4	-10.0	15	1	5	-3.11004784688996	0								4	Merseyside, United Kingdom (general), United Kingdom	UK	UK00	40121	53.4	-3.08333	-2602923	4	Merseyside, United Kingdom (general), United Kingdom	UK	UK00	40121	53.4	-3.08333	-2602923	20220824064500	https://www.thejournal.ie/liverpool-shooting-appeal-5847869-Aug2022/
1059929309	20220823	202208	2022	2022.6384	AUS	AUSTRALIA	AUS								COP	POLICE COMMISSIONER						COP			1	016	016	01	1	-2.0	3	1	3	-3.00500834724541	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20220824064500	https://www.theepochtimes.com/despite-losing-the-vaccine-mandate-case-australian-police-officer-is-a-true-hero_4684895.html
1059929310	20220823	202208	2022	2022.6384	GUYGOVBUS	ROBESON BENN	GUY					GOV	BUS		GUY	STABROEK	GUY								1	013	013	01	1	0.4	8	1	8	-0.833333333333337	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	20220824064500	https://www.stabroeknews.com/2022/08/24/news/guyana/total-review-of-paper-shorts-murder-probe-underway/
1059929311	20220823	202208	2022	2022.6384	JUD	SUPREME COURT						JUD			COP	POLICE COMMISSIONER						COP			1	016	016	01	1	-2.0	6	1	6	-3.00500834724541	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20220824064500	https://www.theepochtimes.com/despite-losing-the-vaccine-mandate-case-australian-police-officer-is-a-true-hero_4684895.html
1059929312	20220823	202208	2022	2022.6384	NZL	WELLINGTON	NZL																		1	060	060	06	2	6.0	2	1	2	-3.78787878787879	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20220824064500	https://www.somersetcountygazette.co.uk/news/20731010.police-recover-stolen-motorcycle-cotford-st-luke/
1059929313	20220823	202208	2022	2022.6384	NZL	WELLINGTON	NZL								NZLCVL	NEW ZEALAND	NZL					CVL			1	060	060	06	2	6.0	2	1	2	-3.78787878787879	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20220824064500	https://www.somersetcountygazette.co.uk/news/20731010.police-recover-stolen-motorcycle-cotford-st-luke/
1059929314	20220823	202208	2022	2022.6384	NZLCVL	WELLINGTON	NZL					CVL			NZL	WELLINGTON	NZL								1	060	060	06	2	6.0	6	1	6	-3.78787878787879	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20220824064500	https://www.somersetcountygazette.co.uk/news/20731010.police-recover-stolen-motorcycle-cotford-st-luke/
1059929315	20220823	202208	2022	2022.6384	TTO	TRINIDAD AND TOBAGO	TTO								LAB	WORKER						LAB			1	191	191	19	4	-9.5	2	1	2	-6.08695652173913	4	Moruga, Victoria, Trinidad And Tobago	TD	TD12	27415	10.0905	-61.2799	-1360415	4	Moruga, Victoria, Trinidad And Tobago	TD	TD12	27415	10.0905	-61.2799	-1360415	4	Moruga, Victoria, Trinidad And Tobago	TD	TD12	27415	10.0905	-61.2799	-1360415	20220824064500	https://www.stabroeknews.com/2022/08/24/news/regional/trinidad/scrap-iron-workers-protest-in-trinidad/
1059929316	20220823	202208	2022	2022.6384	TTO	TRINIDAD	TTO								LBN	TYRE	LBN								1	191	191	19	4	-9.5	2	1	2	-6.08695652173913	4	Barrackpore, Victoria, Trinidad And Tobago	TD	TD12	27415	10.2081	-61.4061	-1359492	4	Barrackpore, Victoria, Trinidad And Tobago	TD	TD12	27415	10.2081	-61.4061	-1359492	4	Barrackpore, Victoria, Trinidad And Tobago	TD	TD12	27415	10.2081	-61.4061	-1359492	20220824064500	https://www.stabroeknews.com/2022/08/24/news/regional/trinidad/scrap-iron-workers-protest-in-trinidad/
1059929317	20220823	202208	2022	2022.6384	TTO	TRINIDAD	TTO								LBN	TYRE	LBN								1	191	191	19	4	-9.5	3	1	3	-6.08695652173913	4	Moruga, Victoria, Trinidad And Tobago	TD	TD12	27415	10.0905	-61.2799	-1360415	4	Moruga, Victoria, Trinidad And Tobago	TD	TD12	27415	10.0905	-61.2799	-1360415	4	Moruga, Victoria, Trinidad And Tobago	TD	TD12	27415	10.0905	-61.2799	-1360415	20220824064500	https://www.stabroeknews.com/2022/08/24/news/regional/trinidad/scrap-iron-workers-protest-in-trinidad/
1059929318	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								0	042	042	04	1	1.9	4	1	4	-10.6534090909091	0								4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20220824064500	https://www.iol.co.za/pretoria-news/news/alleged-unrest-instigator-sphithiphithi-evaluator-sues-state-for-unlawful-arrest-e4189f8b-2775-4cd4-be89-63cb5cebbb72
1059929319	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								1	042	042	04	1	1.9	10	1	10	1.76366843033509	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20220824064500	https://www.iol.co.za/lifestyle/health/local-doctors-excited-about-new-strawberry-arv-formulation-for-children-that-will-soon-be-available-in-sa-0fed4838-d08d-48aa-bbf7-47a5a71a6abf
1059929320	20220824	202208	2022	2022.6411											AUS	AUSTRALIA	AUS								1	014	014	01	1	0.0	6	1	6	-4.12186379928316	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220824064500	https://www.theepochtimes.com/telco-giant-ceo-urges-australia-to-strengthen-cyber-security_4685006.html
1059929321	20220824	202208	2022	2022.6411											AUSBUS	AUSTRALIAN	AUS					BUS			0	190	190	19	4	-10.0	6	1	6	-4.12186379928316	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220824064500	https://www.theepochtimes.com/telco-giant-ceo-urges-australia-to-strengthen-cyber-security_4685006.html
1059929322	20220824	202208	2022	2022.6411											BUS	COMPANIES						BUS			0	012	012	01	1	-0.4	6	1	6	-5.25164113785559	0								4	Chichester District, West Sussex, United Kingdom	UK	UKP6	40137	50.9167	-0.783333	-2592415	4	Chichester District, West Sussex, United Kingdom	UK	UKP6	40137	50.9167	-0.783333	-2592415	20220824064500	https://www.theargus.co.uk/news/20715881.chichester-oyster-harbour-hit-raw-sewage/
1059929323	20220824	202208	2022	2022.6411											BUS	COMPANIES						BUS			0	012	012	01	1	-0.4	4	1	4	-5.25164113785559	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Chichester District, West Sussex, United Kingdom	UK	UKP6	40137	50.9167	-0.783333	-2592415	20220824064500	https://www.theargus.co.uk/news/20715881.chichester-oyster-harbour-hit-raw-sewage/
1059929324	20220824	202208	2022	2022.6411											BUS	COMPANIES						BUS			0	014	014	01	1	0.0	6	1	6	-5.25164113785559	0								4	Chichester District, West Sussex, United Kingdom	UK	UKP6	40137	50.9167	-0.783333	-2592415	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220824064500	https://www.theargus.co.uk/news/20715881.chichester-oyster-harbour-hit-raw-sewage/
1059929325	20220824	202208	2022	2022.6411											BUS	COMPANIES						BUS			0	014	014	01	1	0.0	4	1	4	-5.25164113785559	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220824064500	https://www.theargus.co.uk/news/20715881.chichester-oyster-harbour-hit-raw-sewage/
1059929326	20220824	202208	2022	2022.6411											BUS	BUSINESS						BUS			1	014	014	01	1	0.0	5	1	5	0	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824064500	https://www.crowdfundinsider.com/tag/nick-cheetham/
1059929327	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			1	040	040	04	1	1.0	20	2	20	4	0								3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	20220824064500	https://www.bruneinews.net/news/272663988/xebia-and-global-technology-consultancy-47-degrees-join-forces
1059929328	20220824	202208	2022	2022.6411											BUS	BUSINESS						BUS			1	042	042	04	1	1.9	2	1	2	-5.53935860058309	0								3	Kenosha, Wisconsin, United States	US	USWI	WI059	42.5847	-87.8212	1567416	3	Kenosha, Wisconsin, United States	US	USWI	WI059	42.5847	-87.8212	1567416	20220824064500	https://captimes.com/news/government/wisconsin-republicans-tour-kenosha-two-years-after-jacob-blake-shooting-unrest/article_0390f5e2-7a52-587c-9e1e-d8cefbf90f5e.html
1059929329	20220824	202208	2022	2022.6411											BUS	COMPANIES						BUS			0	090	090	09	2	-2.0	6	1	6	-5.25164113785559	0								4	Chichester District, West Sussex, United Kingdom	UK	UKP6	40137	50.9167	-0.783333	-2592415	4	Chichester District, West Sussex, United Kingdom	UK	UKP6	40137	50.9167	-0.783333	-2592415	20220824064500	https://www.theargus.co.uk/news/20715881.chichester-oyster-harbour-hit-raw-sewage/
1059929330	20220824	202208	2022	2022.6411											BUS	COMPANIES						BUS			0	090	090	09	2	-2.0	4	1	4	-5.25164113785559	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Chichester District, West Sussex, United Kingdom	UK	UKP6	40137	50.9167	-0.783333	-2592415	20220824064500	https://www.theargus.co.uk/news/20715881.chichester-oyster-harbour-hit-raw-sewage/
1059929331	20220824	202208	2022	2022.6411											CAN	CANADA	CAN								1	042	042	04	1	1.9	2	1	2	2.13903743315508	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220824064500	https://www.prokerala.com/news/articles/a1338357.html
1059929332	20220824	202208	2022	2022.6411											CHE	SWITZERLAND	CHE								1	111	111	11	3	-2.0	4	1	4	-1.18284493284493	0								4	Geneva, Genè, Switzerland	SZ	SZ07	16329	46.1956	6.14811	-2552151	4	Geneva, Genè, Switzerland	SZ	SZ07	16329	46.1956	6.14811	-2552151	20220824064500	https://www.yahoo.com/news/donald-trump-lashes-crazy-former-222647122.html
1059929333	20220824	202208	2022	2022.6411											CHNMIL	CHINA	CHN					MIL			1	051	051	05	1	3.4	10	1	10	1.2987012987013	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824064500	https://asia.nikkei.com/Politics/International-relations/US-China-tensions/U.S.-adds-7-China-related-entities-to-export-control-list
1059929334	20220824	202208	2022	2022.6411											CRM	DEALER						CRM			1	014	014	01	1	0.0	5	1	5	-6.08695652173913	0								4	Barrackpore, Victoria, Trinidad And Tobago	TD	TD12	27415	10.2081	-61.4061	-1359492	4	Barrackpore, Victoria, Trinidad And Tobago	TD	TD12	27415	10.2081	-61.4061	-1359492	20220824064500	https://www.stabroeknews.com/2022/08/24/news/regional/trinidad/scrap-iron-workers-protest-in-trinidad/
1059929335	20220824	202208	2022	2022.6411											CRM	DEALER						CRM			0	042	042	04	1	1.9	20	2	20	2.57289879931389	0								0								0								20220824064500	https://www.heraldglobe.com/news/272663973/new-syncron-dealer-to-dealer-d2d-software-extends-a-dealer-supply-chain-to-speed-repair-times-and-maximize-customer-loyalty
1059929336	20220824	202208	2022	2022.6411											CZEGOV	PRAGUE	CZE					GOV			0	040	040	04	1	1.0	8	1	8	-1.19521912350598	0								4	Prague, Praha, Hlavníesto, Czech Republic	EZ	EZ52	14865	50.0833	14.4667	-553173	4	Prague, Praha, Hlavníesto, Czech Republic	EZ	EZ52	14865	50.0833	14.4667	-553173	20220824064500	https://brnodaily.com/2022/08/24/news/politics/president-zeman-blames-green-fanaticism-for-energy-crisis/
1059929337	20220824	202208	2022	2022.6411											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	8	1	4	-2.96052631578947	0								3	Clarke County, Virginia, United States	US	USVA		39.1168	-77.9664	1690562	3	Clarke County, Virginia, United States	US	USVA		39.1168	-77.9664	1690562	20220824064500	https://www.winchesterstar.com/winchester_star/clarke-adopts-revised-return-to-school-plan/article_499e5662-0165-5b50-9b82-1b95dfa35a19.html
1059929338	20220824	202208	2022	2022.6411											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	10	1	10	-1.83574879227053	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220824064500	https://www.globalcitizen.org/en/content/birth-registration-for-all-2030/
1059929339	20220824	202208	2022	2022.6411											EDU	STUDENT						EDU			1	043	043	04	1	2.8	2	1	2	1	0								3	San Marcos High School, Texas, United States	US	USTX		29.8622	-97.9395	2006635	3	San Marcos High School, Texas, United States	US	USTX		29.8622	-97.9395	2006635	20220824064500	https://keyt.com/news/santa-barbara-s-county/2022/08/23/santa-barbara-unified-school-board-approves-memorandum-of-understanding-regarding-law-enforcement-on-school-campuses/
1059929340	20220824	202208	2022	2022.6411											EDU	SCHOOL						EDU			0	051	051	05	1	3.4	5	1	5	-4.48796409628723	0								1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20220824064500	https://www.usip.org/publications/2022/07/isis-problem-yesterday-today-and-tomorrow
1059929341	20220824	202208	2022	2022.6411											GBR	MANCHESTER	GBR								1	036	036	03	1	4.0	5	1	5	-3.26797385620915	0								0								0								20220824064500	https://www.manchestereveningnews.co.uk/news/young-mum-hit-70-fine-24834383
1059929342	20220824	202208	2022	2022.6411											GBRBUS	BRITISH	GBR					BUS			1	031	031	03	1	5.2	6	1	6	4.27698574338086	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824064500	https://payloadasia.com/2022/08/menzies-makes-ground-in-pakistan-with-contract-wins/
1059929343	20220824	202208	2022	2022.6411											GBRCVL	UNITED KINGDOM	GBR					CVL			1	043	043	04	1	2.8	2	1	2	2.83018867924528	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220824064500	https://www.crowdfundinsider.com/2022/08/195097-liquidnet-expands-fixed-income-business-with-key-appointments/
1059929344	20220824	202208	2022	2022.6411											GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	3	1	3	9.25925925925926	0								1	Serbia	RI	RI		44	21	RI	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20220824064500	https://allafrica.com/stories/202208240035.html
1059929345	20220824	202208	2022	2022.6411											GOV	CHIEF EXECUTIVE						GOV			1	130	130	13	3	-4.4	6	1	6	-4.47058823529412	0								4	Brasilia, Distrito Federal, Brazil	BR	BR07	40202	-15.7833	-47.9167	-631243	4	Brasilia, Distrito Federal, Brazil	BR	BR07	40202	-15.7833	-47.9167	-631243	20220824064500	https://www.stabroeknews.com/2022/08/24/news/regional/brazilian-police-raid-pro-bolsonaro-businessmen-accused-of-coup-talk-sources-say/
1059929346	20220824	202208	2022	2022.6411											GOV	FIREFIGHTER						GOV			0	190	190	19	4	-10.0	6	1	6	-7.82222222222222	0								3	Porterville, California, United States	US	USCA	CA107	36.0652	-119.017	1652779	3	Porterville, California, United States	US	USCA	CA107	36.0652	-119.017	1652779	20220824064500	https://www.visaliatimesdelta.com/story/news/2022/08/23/murder-charges-dismissed-porterville-library-case/7872940001/
1059929347	20220824	202208	2022	2022.6411											GUY	GUYANA	GUY								1	036	036	03	1	4.0	5	1	5	-0.833333333333337	0								4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	20220824064500	https://www.stabroeknews.com/2022/08/24/news/guyana/total-review-of-paper-shorts-murder-probe-underway/
1059929348	20220824	202208	2022	2022.6411											IDN	INDONESIA	IDN								0	036	036	03	1	4.0	4	2	4	1.99556541019955	0								1	China	CH	CH		35	105	CH	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20220824064500	https://www.bruneinews.net/news/272664004/china-tensions-with-indonesia-may-spike-over-natuna-islands
1059929349	20220824	202208	2022	2022.6411											IDN	INDONESIAN	IDN								1	062	062	06	2	7.4	4	2	4	1.99556541019955	0								4	Garuda, Jawa Barat, Indonesia	ID	ID30	18585	-7.0065	108.134	11263806	4	Garuda, Jawa Barat, Indonesia	ID	ID30	18585	-7.0065	108.134	11263806	20220824064500	https://www.bruneinews.net/news/272664004/china-tensions-with-indonesia-may-spike-over-natuna-islands
1059929350	20220824	202208	2022	2022.6411											IND	NEW DELHI	IND								1	040	040	04	1	1.0	2	1	2	2.3728813559322	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20220824064500	https://www.bruneinews.net/news/272663987/migrate-world-to-host-seminar-on-ultimate-citizenship-by-investment-guide-for-hnis-in-new-delhi
1059929351	20220824	202208	2022	2022.6411											IND	CHENNAI	IND								1	040	040	04	1	1.0	3	1	3	-5.14469453376205	0								4	Villupuram, Tamil Nadu, India	IN	IN25	70255	11.9333	79.4833	-2114456	4	Villupuram, Tamil Nadu, India	IN	IN25	70255	11.9333	79.4833	-2114456	20220824064500	https://www.prokerala.com/news/articles/a1338347.html
1059929352	20220824	202208	2022	2022.6411											IRQ	IRAQ	IRQ								0	042	042	04	1	1.9	2	1	2	-4.48796409628723	0								1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	20220824064500	https://www.usip.org/publications/2022/07/isis-problem-yesterday-today-and-tomorrow
1059929353	20220824	202208	2022	2022.6411											JPN	TOKYO	JPN								0	025	025	02	1	-0.3	10	1	10	-1.2366034624897	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20220824064500	https://www.washingtonpost.com/world/2022/08/24/how-to-bring-pet-cat-japan-guide/
1059929354	20220824	202208	2022	2022.6411											JUD	ATTORNEY						JUD			0	110	110	11	3	-2.0	5	1	5	-1.49094781682641	0								1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20220824064500	https://www.mondaq.com/contracts-and-commercial-law/1223908/enforcing-indemnification-clauses-in-thailand
1059929355	20220824	202208	2022	2022.6411											KHM	CAMBODIA	KHM								1	036	036	03	1	4.0	2	1	2	2.54706533776301	0								4	Speu, KâóCham, Cambodia	CB	CB02	12325	12.3299	105.335	-1030216	4	Speu, KâóCham, Cambodia	CB	CB02	12325	12.3299	105.335	-1030216	20220824064500	https://www.phnompenhpost.com/lifestyle/traditional-palm-leaf-boxes-helping-reduce-plastic-use
